PRAZO,PEÇA / MEDIDA IMEDIATA / SESSÃO DE JULGAMENTO,ESTRATÉGIA / OBSERVAÇÃO,RESPONSÁVEL,REVISOR/REVISORA,TIPO DE AÇÃO (CLASSE),TEMA,OBJETO,Nº INTERNO,NÚMERO DO PROCESSO,VIP,TRIBUNAL,RELATORIA,CLIENTE(S),POLO PROCESSUAL,PARTE(S) CONTRÁRIA(S),LIMINAR,PARECER MPE,MÉRITO,RECURSO,SITUAÇÃO,PERÍODO,ANDAMENTOS,ACOMPANHAMENTO,CADASTRO NO ASTREA,Liminar Deferida,Parecer do MPE,Sentença
-,-,-,-,-,Representação Eleitoral,Propaganda eleitoral antecipada,Escola de Samba Acadêmicos de Niterói em homenagear Lula durante o Carnaval de 2026,-,0600183-05.2026.6.00.0000,-,TSE ,Estela Aranha,-,Passivo,Partido Novo,,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda eleitoral antecipada,Escola de Samba Acadêmicos de Niterói em homenagear Lula durante o Carnaval de 2026,-,0600094-79.2026.6.00.0000,-,TSE ,Estela Aranha,-,Passivo,Partido Missão,,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda eleitoral antecipada e irregular,-,-,0600238-53.2026.6.00.0000,-,TSE ,Estela Aranha,-,Passivo,Partido Missão,,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda eleitoral antecipada e irregular,Escola de Samba,-,0600275-80.2026.6.00.0000,-,TSE ,Estela Aranha,-,Ativo,Romeu Zema,,,,,,,,,3003.0113,,,
-,-,-,-,-,Tutela Antecipada Antecedente,Desfile de Carnaval,Produção de provas,-,0600288-79.2026.6.00.0000,-,TSE ,Antônio Carlos Ferreira,-,Passivo,Partido Liberal,,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda eleitoral antecipada e irregular,-,-,0600291-34.2026.6.00.0000,-,TSE ,Estela Aranha,-,Ativo,Partido Liberal,,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda eleitoral antecipada e irregular,-,-,0600292-19.2026.6.00.0000,-,TSE ,Estela Aranha,-,Ativo,Flávio Bolsonaro,,,,,,,,,"""3010.0113""",,,
-,-,-,-,-,Representação Eleitoral,Propaganda eleitoral antecipada e irregular,Vídeo Sucesso da Bandidagem ,-,0600318-17.2026.6.00.0000,-,TSE ,Estela Aranha,Federação Brasil da Esperança,Ativo,Partido Liberal e Cabo Gilberto Silva,,,,,,,,,"""3017.0113""",,,
-,-,-,-,-,Representação Eleitoral,Propaganda eleitoral antecipada e irregular,Picanha com propaganda eleitoral ,,0600319-02.2026.6.00.0000,-,TSE ,Estela Aranha,Federação Brasil da Esperança,Ativo,Flávio Bolsonaro e Frigorífico Carne Frigs,,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda eleitoral antecipada e irregular,Outdoor e Adesivaço,-,0600320-84.2026.6.00.0000,-,TSE ,Estela Aranha,Federação Brasil da Esperança,Ativo,"Flávio Bolsonaro, Gilson Machado Guimarães e Gilson Machado NEto",,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda eleitoral antecipada e irregular,"Impulsionamento pago de publicações
Grupo 01",-,0600355-44.2026.6.00.0000,-,TSE ,Estela Aranha,Federação Brasil da Esperança,Ativo,"Julia Zanatta, Ricardo Nunes, Renato Bolsonaro, Ivan Naatz e Filipe Barros Baptista de Toledo Ribeiro",,,,,,,,,"""3018.0113""",,,
-,-,-,-,-,Representação Eleitoral,Propaganda eleitoral antecipada e irregular,"Impulsionamento pago de publicações
Grupo 02",-,0600356-29.2026.6.00.0000,-,TSE ,Estela Aranha,Federação Brasil da Esperança,Ativo,"Alexis Joseph Steverlynck Fonteyne, Evandro Gonçalves da Silva Junior, José Mendonça Bezerra Filho e Rosana Tereza Martinelli",,,,,,,,,"""3019.0113""",,,
-,-,-,-,-,Representação Eleitoral,Propaganda eleitoral antecipada e irregular,"Impulsionamento pago de publicações
Grupo 03",-,0600357-14.2026.6.00.0000,-,TSE ,Estela Aranha,Federação Brasil da Esperança,Ativo,"Rodrigo de Andrade, Mauro Roberto Pinheiro, Carlos Renan Leal de Matos, Érico Vinícius Pereira e Tiago José Albrecht",,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda eleitoral antecipada e irregular,"Impulsionamento pago de publicações
Grupo 04",-,0600358-96.2026.6.00.0000,-,TSE ,Estela Aranha,Federação Brasil da Esperança,Ativo,"Tiago Maximiano Junqueira, Márcio Gualberto dos Santos, Gianni Dias Aguillar Nogueira e Alexandre Isquierdo Moreira",,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda eleitoral antecipada e irregular,"Impulsionamento pago de publicações
Grupo 04",-,0600359-81.2026.6.00.0000,-,TSE ,Estela Aranha,Federação Brasil da Esperança,Ativo,"Ubirajara Rosses do Nascimento Junior, Willian Veloso de Carvalho, Wilian Martini Tonezi, Matheus Lima Braga e Silvio Santos do Nascimento",,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda Eleitoral Antecipada,Conferência Nacional do Trabalho,-,0600375-35.2026.6.00.0000,-,TSE ,Estela Aranha,Luiz Inácio Lula da silva,Passivo,Partido Liberal,,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda Eleitoral Antecipada,Conferência Nacional do Trabalho,-,0600377-05.2026.6.00.0000,-,TSE ,Estela Aranha,Luiz Inácio Lula da Silva e PT,Passivo,Partido Missão,,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda Eleitoral Antecipada,Ato 1º de março,-,0600378-87.2026.6.00.0000,-,TSE ,Estela Aranha,Federação Brasil da Esperança,Ativo,"Nikolas Ferreira, Gustavo Gayer, Flávio Bolsonaro, Ricardo Nunes e Partido Liberal",,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda Eleitoral Antecipada,A Grande Quadrilha,-,0600384-94.2026.6.00.0000,-,TSE ,Estela Aranha,Federação Brasil da Esperança,Ativo,Partido Liberal,,,,,,,,,"""3029.0113""",,,
-,-,-,-,-,Representação Eleitoral,Propaganda Eleitoral Antecipada Negativa e Desinformação,Narcotráfico,-,0600468-95.2026.6.00.0000,-,TSE ,Estela Aranha,Federação Brasil da Esperança,Ativo,"Partido Liberal, Carlos Bolsonaro e Flávio Bolsonaro",,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda Eleitoral Antecipada Negativa e Desinformação,Críticas em inauguração de setor de trauma em hospital do RJ,-,0600533-90.2026.6.00.0000,-,TSE ,Estela Aranha,"Luiz Inácio Lula da Silva, Alexandre Padilha e Daniel Soranz Pinto",Passivo,Partido Liberal,,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda Eleitoral Antecipada Negativa e Desinformação,"Vídeo ""Unha e Carne"" contra Flávio Bolsonaro",,0600539-97.2026.6.00.0000,,TSE ,Estela Aranha,Gleisi Helena Hoffmann,Passivo,Partido Liberal,,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda Eleitoral Antecipada,"Evento do Programa ""Caminhos da Escola""",,0600543-37.2026.6.00.0000,,TSE ,Estela Aranha,Luiz Inácio Lula da Silva,Passivo,Partido Liberal,,,,,,,,,Sim,,,
,-,-,-,-,Representação Eleitoral Especial,Conduta Vedada,Críticas em inauguração de setor de trauma em hospital do RJ,,0600549-44.2026.6.00.0000,,TSE ,Estela Aranha,Luiz Inácio Lula da Silva,Passivo,Partido Liberal,,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda Eleitoral Antecipada,Pronunciamento oficial do Dia da Mulher,,0600556-36.2026.6.00.0000,,TSE ,Estela Aranha,Luiz Inácio Lula da Silva,Passivo,Partido Liberal,,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda Eleitoral Antecipada,Inauguração da Caranava Federativa do Rio de Janeiro,,0600567-65.2026.6.00.0000,,TSE ,Estela Aranha,Luiz Inácio Lula da Silva,Passivo,Partido Liberal,,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda Eleitoral Antecipada Negativa e Desinformação,"Vídeo ""Feitos de Lula""",,0600568-50.2026.6.00.0000,,TSE ,Estela Aranha,Federação Brasil da Esperança,Ativo,Flávio Bolsonaro e Partido Liberal,,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda Eleitoral Antecipada,Comício em Rondônia,,0600569-35.2026.6.00.0000,,TSE ,Estela Aranha,Federação Brasil da Esperança,Ativo,Flávio Bolsonaro e Partido Liberal,,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda Eleitoral Antecipada Negativa,Falas contra Lula em vídeo,,0600570-20.2026.6.00.0000,,TSE ,Estela Aranha,Federação Brasil da Esperança,Ativo,Jorginho Mello,,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Outdoor,Outdoor em Pernambuco,,0600571-05.2026.6.00.0000,,TSE ,Estela Aranha,Federação Brasil da Esperança,Ativo,Alberto Feitosa,,,,,,,,,Sim,,,
-,-,-,-,-,Representação Eleitoral,Propaganda Eleitoral Ilícita Antecipada Negativa,"RehVerse IA. Publicações no TikTok com teor de violência política, violência política de gênero. Petistas em situações degradantes. IA",,0600648-14.2026.6.00.0000,,TSE ,Estela Aranha,Federação Brasil da Esperança,Ativo,TikTok (ByteDance Brasil Tecnologia LTDA),,,,,,,,,Sim,,,
-,-,Acompanhamento estratégico,-,-,Inquérito Policial,Calúnia,"Postagem que associa Lula a crimes, tendo como base o sequestro de Maduro.",,INQ 5045,,STF,Alexandre de Moraes,-,-,-,,,,,,,,,-,,,
-,-,-,-,-,Representação,Propaganda Eleitoral Antecipada Negativa e Desinformação,"Postagem em que Gleisi afirma que Deltan Dallagnol está inelegível, entre outros assuntos",,0600196-57.2026.6.16.0000,,TRE-PR,Gisele Lemke,Gleisi Helena Hoffmann,Passivo,Diretório Estadual do Partido Novo,,,,,,,,,Sim,Parcial,Parcial,Parcial
-,-,-,-,-,Representação,Impulsionamento de propaganda negativa,"Propaganda ""Não te contaram tudo sobre combustível""",,0600686-26.2026.6.00.0000,,TSE ,Estela Aranha,Partido dos Trabalhadores,Passivo,Partido Liberal,,,,,,,,,Sim,,,
-,-,-,-,-,Representação,Impulsionamento de propaganda negativa,"""Defender o Brasil ou entregar nossas riquezas aos americanos""'",,0600689-78.2026.6.00.0000,,TSE ,Estela Aranha,Partido dos Trabalhadores,Passivo,Partido Liberal,,,,,,,,,Sim,,,
-,-,-,-,-,Representação,Impulsionamento de propaganda negativa,"""Será que que FB vai acabar com o pix?""",,0600690-63.2026.6.00.0000,,TSE ,Estela Aranha,Partido dos Trabalhadores,Passivo,Partido Liberal,,,,,,,,,Sim,,,
-,-,-,-,-,Representação,Propaganda Eleitoral Antecipada Negativa e Desinformação,Uldurico é Lula,,0600695-85.2026.6.00.0000,,TSE ,Estela Aranha,Federação Brasil da Esperança,Ativo,Partido Liberal,,,,,,,,,"""3061.0113""",,,
-,-,-,-,-,Representação,Impulsionamento de propaganda negativa,O Partido de Flávio Bolsonaro tem lado.,,0600697-55.2026.6.00.000,,TSE ,Estela Aranha,Partido dos Trabalhadores,Passivo,Partido Liberal,,,,,,,,,Sim,,,
-,-,-,-,-,Representação,Impulsionamento de propaganda negativa,Mentiras da Familia Bolsonaro,,0600698-40.2026.6.00.0000,,TSE ,Estela Aranha,Partido dos Trabalhadores,Passivo,Partido Liberal,,,,,,,,,Sim,,,
,,,,,Direito de Resposta,Desordem informacional. Utilização de recortes de falas para prejudicar Lula,"Vídeo ""Segredos da política milionária""",,0600699-25.2026.6.00.0000,,TSE ,Estela Aranha,Federação Brasil da Esperança,Ativo,Flávio Bolsonaro,,,,,,,,,"""3062.0113""",,,
,,,,,Representação,Impulsionamento de propaganda antecipada negativa,Vídeo associando FB ao Banco Master,,0600700-10.2026.6.00.0000,,TSE,Estela Aranha,Partido dos Trabalhadores,Passivo,Partido Liberal,,,,,,,,,Sim,,,
,,,,,Direito de Resposta,Utilização de IA para associar Lula a facções criminosas,"Ligação entre Lula, PCC e CV",,0600701-92.2026.6.00.0000,,TSE,Estela Aranha,Federação Brasil da Esperança,Ativo,"Flávio Bolsonaro, Eduardo Bolsonaro e Partido Liberal",,,,,,,,,"""3063.0113""",,,
-,-,-,-,-,Representação,Propaganda eleitoral antecipada e negativa,"Vídeo Dallagnol ""Lave a Boca, Gleisi""",,0600217-33.2026.6.16.0000,,TRE-PR,Adriana de Lourdes Simette,Gleisi Helena Hoffmann,Ativo,Deltan Dallagnol,,,,,,,,,Sim,Não,Improcedência,Improcedência
-,-,-,-,-,Representação,Propaganda eleitoral antecipada e negativa,"2ª postagem em que Gleisi afirma que Deltan Dallagnol está inelegível, com a certidão eleitoral",,0600219-03.2026.6.16.0000,,TRE-PR,Gisele Lemke,Gleisi Helena Hoffmann,Passivo,Partido Novo (Deltan Dallagnol),,,,,,,,,Sim,Parcial,Parcial,Parcial provimento
,,,,,Representação,Representação Especial por conduta Vedada,"Entrevista de Lula com o Brasil 247, DCM e Revista Fórum no Palácio do Planalto",,0600704-47.2026.6.00.0000,,TSE,Estela Aranha,Luiz Inácio Lula da Silva,Passivo,Partido Liberal,,,,,,,,,Sim,,,
-,-,-,-,-,Representação,Criação de personagem por IA para propagar desinformação em redes sociais,"Suspensão do Perfil ""Dona Maria""",,0600707-02.2026.6.00.0000,,TSE,Estela Aranha,Federação Brasil da Esperança,Ativo,"Instagram, TikTok, YouTube, X",,,,,,,,,Sim,,,
,,,,,Representação,"Propaganda eleitoral antecipada, negativa. Desinformação","Vídeo ""Lula manda Gleisi Hoffmann de volta à cena do crime""",,0600233-84.2026.6.16.0000,,TRE-PR,Adriana de Lourdes Simette,Gleisi Helena Hoffmann,Ativo,Jeffrey Chiquini,,,,,,,,,Sim,Não,Procedência,Improcedente
,,,,,Representação,Impulsionamento de propaganda negativa,"Post ""O Cerco Está se Fechando"" - INSS",,0600781-56.2026.6.00.0000,,TSE,Estela Aranha,Federação Brasil da Esperança,Ativo,Partido Liberal,,,,,,,,,Sim,,,
,,,,,Representação,Impulsionamento de propaganda negativa,"Post ""2 milhões em anúncios pelo Lula""",,0600782-41.2026.6.00.0000,,TSE,Estela Aranha,Federação Brasil da Esperança,Ativo,Partido Liberal,,,,,,,,,Sim,,,
,,,,,Representação,Impulsionamento de propaganda negativa,"Post ""Ignorância Dá Voto""",,0600783-26.2026.6.00.0000,,TSE,Estela Aranha,Federação Brasil da Esperança,Ativo,Partido Liberal,,,,,,,,,Sim,,,
,,,,,Representação,Impulsionamento de propaganda negativa,"Post ""O Brasil Precisa Saber""",,0600784-11.2026.6.00.0000,,TSE,Estela Aranha,Federação Brasil da Esperança,Ativo,Partido Liberal,,,,,,,,,Sim,,,
